Hol dir die Kisten in der Mitte
"Das Deathmatch wird in sieben Minuten, nachdem das Spiel
gestartet hat, starten - Du wirst zu einer Arena teleportiert.
Der letzte Überlebende gewinnt!"
"Du wirst eine größere Chance haben, zu gewinnen, wenn du
dir überlegst, welche Kisten du nimmst"
"Überlege dir jetzt, welche Kiste du nimmst."
"Ein Team zu haben ist immer schlau.
Schreiben während dem Fahren, immer dumm."
"Das Spiel tm.lbsg.net ist wie dieses, aber du bist dem
Team Rot, Blau oder Rün zugeteilt."
